tipo,timestamp,media,desv
presion,2025-07-16T18:19:10,170.00,0.00
presion,2025-07-16T18:19:11,145.00,35.36
presion,2025-07-16T18:19:12,154.33,29.77
presion,2025-07-16T18:19:13,149.75,25.98
presion,2025-07-16T18:19:14,148.60,22.65
presion,2025-07-16T18:19:15,150.00,20.54
presion,2025-07-16T18:19:16,144.86,23.17
presion,2025-07-16T18:19:17,141.75,23.18
presion,2025-07-16T18:19:18,143.22,22.13
presion,2025-07-16T18:19:19,140.70,22.34
presion,2025-07-16T18:19:20,143.00,22.52
presion,2025-07-16T18:19:21,143.75,21.63
presion,2025-07-16T18:19:22,145.85,22.04
presion,2025-07-16T18:19:23,147.43,21.99
presion,2025-07-16T18:19:24,145.13,22.98
presion,2025-07-16T18:19:25,144.19,22.52
presion,2025-07-16T18:19:26,142.53,22.85
presion,2025-07-16T18:19:27,141.56,22.55
presion,2025-07-16T18:19:28,141.53,21.92
presion,2025-07-16T18:19:29,141.20,21.38
presion,2025-07-16T18:19:30,141.38,20.86
presion,2025-07-16T18:19:31,140.64,20.65
presion,2025-07-16T18:19:32,141.57,20.66
presion,2025-07-16T18:19:33,143.17,21.68
presion,2025-07-16T18:19:34,144.04,21.67
presion,2025-07-16T18:19:35,144.69,21.49
presion,2025-07-16T18:19:36,145.85,21.92
presion,2025-07-16T18:19:37,145.00,21.97
presion,2025-07-16T18:19:38,144.14,22.07
presion,2025-07-16T18:19:39,143.27,22.21
presion,2025-07-16T18:19:40,141.40,22.23
presion,2025-07-16T18:19:41,141.17,22.50
presion,2025-07-16T18:19:42,140.97,22.23
presion,2025-07-16T18:19:43,140.57,22.43
presion,2025-07-16T18:19:44,141.37,22.98
presion,2025-07-16T18:19:45,139.87,23.39
presion,2025-07-16T18:19:46,142.03,23.92
presion,2025-07-16T18:19:47,143.40,23.79
presion,2025-07-16T18:19:48,143.70,23.99
presion,2025-07-16T18:19:49,144.07,23.67
presion,2025-07-16T18:19:50,142.27,23.99
presion,2025-07-16T18:19:51,142.67,24.26
presion,2025-07-16T18:19:52,142.90,24.57
presion,2025-07-16T18:19:53,143.23,24.99
presion,2025-07-16T18:19:54,144.47,24.35
presion,2025-07-16T18:19:55,145.70,24.53
presion,2025-07-16T18:19:56,147.37,24.14
presion,2025-07-16T18:19:57,147.03,24.52
presion,2025-07-16T18:19:58,146.23,25.11
presion,2025-07-16T18:19:59,146.80,25.04
presion,2025-07-16T18:20:00,147.40,25.21
presion,2025-07-16T18:20:01,147.03,25.63
presion,2025-07-16T18:20:02,145.37,26.24
presion,2025-07-16T18:20:03,143.90,25.45
presion,2025-07-16T18:20:04,144.40,26.02
presion,2025-07-16T18:20:05,143.73,25.84
presion,2025-07-16T18:20:06,142.63,25.11
presion,2025-07-16T18:20:07,142.60,25.14
presion,2025-07-16T18:20:08,144.27,25.24
presion,2025-07-16T18:20:09,146.13,25.31
